CLIENTEID,CODMARCA,DESCDISTRI,DESCDIMES
03765,049,12.0,7.85
06999,099,14.0,12.0
06999,100,14.0,12.0
06999,104,14.0,12.0
06999,105,14.0,12.0
06999,109,12.0,15.0
07159,105,14.0,12.0
07159,109,12.0,15.0
07159,098,12.0,15.0
07159,104,14.0,12.0
07159,099,14.0,12.0
07159,100,14.0,12.0
07220,105,14.0,12.0
07220,109,12.0,15.0
07220,098,12.0,15.0
07220,104,14.0,12.0
07220,099,14.0,12.0
07220,100,14.0,12.0
06456,098,12.0,15.0
06456,104,14.0,12.0
06456,099,14.0,12.0
06456,100,14.0,12.0
06456,053,12.0,8.0
06403,109,14.0,15.0
06403,098,14.0,15.0
01580,109,12.0,15.0
01581,098,12.0,15.0
01581,099,14.0,12.0
01581,100,14.0,12.0
01581,109,12.0,15.0
01582,098,12.0,15.0
01582,099,14.0,12.0
01582,100,14.0,12.0
01582,109,12.0,15.0
01583,098,12.0,15.0
01583,099,14.0,12.0
01583,100,14.0,12.0
01583,109,12.0,15.0
01585,098,12.0,15.0
01585,099,14.0,12.0
01585,100,14.0,12.0
01585,109,12.0,15.0
01586,098,12.0,15.0
01586,099,14.0,12.0
01586,100,14.0,12.0
01586,109,12.0,15.0
01587,098,12.0,15.0
01587,099,14.0,12.0
01587,100,14.0,12.0
01587,109,12.0,15.0
01588,098,12.0,15.0
01588,099,14.0,12.0
01588,100,14.0,12.0
01588,109,12.0,15.0
01589,098,12.0,15.0
01589,099,14.0,12.0
01589,100,14.0,12.0
01589,109,12.0,15.0
01590,098,12.0,15.0
01590,099,14.0,12.0
01590,100,14.0,12.0
01590,109,12.0,15.0
01591,098,12.0,15.0
01591,099,14.0,12.0
01591,100,14.0,12.0
01591,109,12.0,15.0
01592,098,12.0,15.0
01592,099,14.0,12.0
01592,100,14.0,12.0
01592,109,12.0,15.0
01593,098,12.0,15.0
01593,099,14.0,12.0
01593,100,14.0,12.0
01593,109,12.0,15.0
01594,098,12.0,15.0
01594,099,14.0,12.0
01594,100,14.0,12.0
01594,109,12.0,15.0
01595,098,12.0,15.0
01595,099,14.0,12.0
01595,100,14.0,12.0
01595,109,12.0,15.0
01596,098,12.0,15.0
01596,099,14.0,12.0
01596,100,14.0,12.0
01596,109,12.0,15.0
01597,098,12.0,15.0
01597,099,14.0,12.0
01597,100,14.0,12.0
01597,109,12.0,15.0
01598,098,12.0,15.0
01598,099,14.0,12.0
01598,100,14.0,12.0
01598,109,12.0,15.0
01599,098,12.0,15.0
01599,099,14.0,12.0
01599,100,14.0,12.0
01599,109,12.0,15.0
01601,098,12.0,15.0
01601,099,14.0,12.0
01601,100,14.0,12.0
01601,109,12.0,15.0
01602,098,12.0,15.0
01602,099,14.0,12.0
01602,100,14.0,12.0
01602,109,12.0,15.0
01603,098,12.0,15.0
01603,099,14.0,12.0
01603,100,14.0,12.0
01603,109,12.0,15.0
01604,098,12.0,15.0
01604,099,14.0,12.0
01604,100,14.0,12.0
01604,109,12.0,15.0
01605,098,12.0,15.0
01605,099,14.0,12.0
01605,100,14.0,12.0
01605,109,12.0,15.0
01606,098,12.0,15.0
01606,099,14.0,12.0
01606,100,14.0,12.0
01606,109,12.0,15.0
01607,098,12.0,15.0
01607,099,14.0,12.0
01607,100,14.0,12.0
01607,109,12.0,15.0
01608,098,12.0,15.0
01608,099,14.0,12.0
01608,100,14.0,12.0
01608,109,12.0,15.0
01611,098,12.0,15.0
01611,099,14.0,12.0
05675,002,10.0,14.0
01611,100,14.0,12.0
05675,017,8.0,14.0
01611,109,12.0,15.0
01612,098,12.0,15.0
01612,099,14.0,12.0
01612,100,14.0,12.0
01612,109,12.0,15.0
01613,098,12.0,15.0
01613,099,14.0,12.0
01613,100,14.0,12.0
01613,109,12.0,15.0
01614,098,12.0,15.0
01614,099,14.0,12.0
01614,100,14.0,12.0
01614,109,12.0,15.0
01615,098,12.0,15.0
01615,099,14.0,12.0
01615,100,14.0,12.0
01615,109,12.0,15.0
01616,098,12.0,15.0
01616,099,14.0,12.0
01616,100,14.0,12.0
01616,109,12.0,15.0
01617,098,12.0,15.0
01617,099,14.0,12.0
